year,month,lat,lng,probability
0,0,25,304,1.00000
0,2,21,300,0.21296
0,2,23,301,0.00803
0,2,23,302,0.00150
0,2,23,303,0.00539
0,2,23,304,0.01283
0,2,23,305,0.00086
0,2,24,300,0.25414
0,2,24,301,0.05093
0,2,24,302,0.00057
0,2,24,303,0.00168
0,2,24,304,0.03699
0,2,24,305,0.00168
0,2,25,299,0.00089
0,2,25,300,0.00196
0,2,25,301,0.02367
0,2,25,302,0.01128
0,2,25,303,0.05995
0,2,25,304,0.00686
0,2,25,305,0.00657
0,2,25,306,0.00043
0,2,26,299,0.02778
0,2,26,301,0.00029
0,2,26,302,0.00157
0,2,26,303,0.00093
0,2,26,308,0.00039
0,2,27,301,0.00368
0,2,27,302,0.00264
0,2,27,307,0.14815
0,2,27,310,0.10185
0,2,28,302,0.00200
0,2,28,306,0.00164
0,2,28,307,0.00926
0,4,19,299,0.01566
0,4,19,300,0.00980
0,4,20,297,0.00052
0,4,20,298,0.00044
0,4,20,299,0.00081
0,4,20,300,0.00119
0,4,20,302,0.00785
0,4,20,306,0.00263
0,4,21,296,0.00088
0,4,21,297,0.00066
0,4,21,298,0.00048
0,4,21,299,0.00269
0,4,21,300,0.00147
0,4,21,301,0.00043
0,4,21,302,0.00470
0,4,21,303,0.00134
0,4,21,304,0.00070
0,4,22,296,0.00097
0,4,22,297,0.00098
0,4,22,298,0.02204
0,4,22,299,0.00585
0,4,22,300,0.03225
0,4,22,301,0.00189
0,4,22,302,0.00194
0,4,22,303,0.00675
0,4,22,304,0.00133
0,4,22,305,0.00036
0,4,23,296,0.00143
0,4,23,297,0.02804
0,4,23,298,0.03711
0,4,23,299,0.00386
0,4,23,300,0.02932
0,4,23,301,0.00292
0,4,23,302,0.00733
0,4,23,303,0.01728
0,4,23,304,0.00273
0,4,23,305,0.00047
0,4,23,314,0.00044
0,4,24,294,0.00110
0,4,24,295,0.00252
0,4,24,296,0.03418
0,4,24,297,0.02320
0,4,24,298,0.01755
0,4,24,299,0.00194
0,4,24,300,0.00257
0,4,24,301,0.00305
0,4,24,302,0.02169
0,4,24,303,0.00960
0,4,24,304,0.00788
0,4,24,305,0.00290
0,4,24,306,0.00043
0,4,24,307,0.00082
0,4,24,308,0.00047
0,4,24,309,0.00455
0,4,24,312,0.00034
0,4,25,292,0.00127
0,4,25,293,0.00058
0,4,25,294,0.00152
0,4,25,295,0.00143
0,4,25,296,0.02106
0,4,25,297,0.00766
0,4,25,298,0.03525
0,4,25,299,0.03038
0,4,25,300,0.00680
0,4,25,301,0.00185
0,4,25,302,0.01009
0,4,25,303,0.00525
0,4,25,304,0.00780
0,4,25,305,0.00144
0,4,25,306,0.00676
0,4,25,307,0.00121
0,4,25,308,0.00794
0,4,25,309,0.01501
0,4,25,310,0.00031
0,4,25,311,0.00032
0,4,26,291,0.00756
0,4,26,292,0.00167
0,4,26,294,0.00076
0,4,26,295,0.00087
0,4,26,296,0.01549
0,4,26,297,0.00582
0,4,26,298,0.01660
0,4,26,299,0.01048
0,4,26,300,0.00164
0,4,26,301,0.00169
0,4,26,302,0.00304
0,4,26,303,0.01220
0,4,26,304,0.01199
0,4,26,305,0.00385
0,4,26,306,0.00389
0,4,26,307,0.00116
0,4,26,308,0.01269
0,4,26,309,0.00094
0,4,26,310,0.01475
0,4,26,311,0.00040
0,4,27,294,0.00050
0,4,27,296,0.01067
0,4,27,297,0.01312
0,4,27,298,0.00818
0,4,27,299,0.00501
0,4,27,300,0.00210
0,4,27,301,0.00194
0,4,27,302,0.00418
0,4,27,303,0.01137
0,4,27,304,0.00651
0,4,27,305,0.00222
0,4,27,306,0.00842
0,4,27,307,0.02144
0,4,27,308,0.00724
0,4,27,309,0.00038
0,4,27,310,0.00850
0,4,27,312,0.01205
0,4,28,296,0.00043
0,4,28,297,0.00122
0,4,28,298,0.00097
0,4,28,299,0.00354
0,4,28,300,0.00351
0,4,28,301,0.00326
0,4,28,302,0.00448
0,4,28,303,0.01164
0,4,28,304,0.00534
0,4,28,305,0.02094
0,4,28,306,0.01700
0,4,28,307,0.00257
0,4,28,308,0.00546
0,4,28,310,0.00056
0,4,29,297,0.00482
0,4,29,299,0.00187
0,4,29,301,0.00576
0,4,29,302,0.00231
0,4,29,303,0.00228
0,4,29,304,0.00632
0,4,29,305,0.01203
0,4,29,306,0.01208
0,4,29,307,0.00501
0,4,29,308,0.01495
0,4,29,309,0.00441
0,4,30,297,0.00873
0,4,30,298,0.00251
0,4,30,299,0.00047
0,4,30,301,0.00439
0,4,30,309,0.00321
0,4,30,312,0.00281
0,4,31,300,0.00050
0,4,31,301,0.00052
0,4,31,308,0.00057
0,4,31,309,0.00512
0,4,31,310,0.00094
0,4,32,310,0.00441
0,6,19,292,0.00047
0,6,19,295,0.00045
0,6,19,296,0.00071
0,6,19,297,0.00040
0,6,20,291,0.00050
0,6,20,294,0.00117
0,6,20,295,0.00098
0,6,20,298,0.00277
0,6,20,299,0.00071
0,6,20,300,0.00079
0,6,20,301,0.00244
0,6,20,302,0.00095
0,6,20,304,0.00131
0,6,21,291,0.00100
0,6,21,292,0.00114
0,6,21,293,0.00188
0,6,21,294,0.00094
0,6,21,295,0.00263
0,6,21,296,0.00159
0,6,21,297,0.00194
0,6,21,298,0.00270
0,6,21,299,0.00531
0,6,21,300,0.00243
0,6,21,301,0.00078
0,6,21,302,0.00385
0,6,21,303,0.00186
0,6,21,304,0.00035
0,6,22,292,0.00069
0,6,22,293,0.00133
0,6,22,294,0.00479
0,6,22,295,0.00707
0,6,22,296,0.00370
0,6,22,297,0.00224
0,6,22,298,0.00202
0,6,22,299,0.00294
0,6,22,300,0.00344
0,6,22,301,0.00535
0,6,22,302,0.00813
0,6,22,303,0.00543
0,6,22,304,0.00077
0,6,22,305,0.00093
0,6,22,306,0.00118
0,6,22,307,0.00064
0,6,22,308,0.00105
0,6,23,289,0.00123
0,6,23,290,0.00036
0,6,23,291,0.00045
0,6,23,292,0.00450
0,6,23,293,0.00221
0,6,23,294,0.00225
0,6,23,295,0.00546
0,6,23,296,0.00707
0,6,23,297,0.00622
0,6,23,298,0.00246
0,6,23,299,0.00114
0,6,23,300,0.00077
0,6,23,301,0.00358
0,6,23,302,0.00415
0,6,23,303,0.00485
0,6,23,304,0.00200
0,6,23,305,0.00118
0,6,23,306,0.00043
0,6,23,307,0.00058
0,6,23,308,0.00045
0,6,24,286,0.00114
0,6,24,288,0.00034
0,6,24,289,0.00091
0,6,24,291,0.00038
0,6,24,292,0.01179
0,6,24,293,0.00152
0,6,24,294,0.00619
0,6,24,295,0.00736
0,6,24,296,0.00268
0,6,24,297,0.00155
0,6,24,298,0.00205
0,6,24,299,0.00159
0,6,24,300,0.00238
0,6,24,301,0.00360
0,6,24,302,0.00561
0,6,24,303,0.01185
0,6,24,304,0.00428
0,6,24,305,0.00275
0,6,24,306,0.00365
0,6,24,307,0.00030
0,6,24,308,0.00037
0,6,25,290,0.00086
0,6,25,291,0.00545
0,6,25,292,0.01663
0,6,25,293,0.00860
0,6,25,294,0.00774
0,6,25,295,0.00667
0,6,25,296,0.00961
0,6,25,297,0.00500
0,6,25,298,0.00385
0,6,25,299,0.00486
0,6,25,300,0.00455
0,6,25,301,0.00311
0,6,25,302,0.00374
0,6,25,303,0.00878
0,6,25,304,0.00958
0,6,25,305,0.00452
0,6,25,306,0.00217
0,6,25,307,0.00140
0,6,25,308,0.00218
0,6,25,309,0.00184
0,6,25,310,0.00270
0,6,25,311,0.00183
0,6,25,312,0.00060
0,6,26,285,0.00026
0,6,26,286,0.00035
0,6,26,287,0.00027
0,6,26,288,0.00028
0,6,26,289,0.00116
0,6,26,290,0.00358
0,6,26,291,0.00712
0,6,26,292,0.00797
0,6,26,293,0.00219
0,6,26,294,0.00228
0,6,26,295,0.00502
0,6,26,296,0.01447
0,6,26,297,0.01104
0,6,26,298,0.00195
0,6,26,299,0.00210
0,6,26,300,0.00722
0,6,26,301,0.00490
0,6,26,302,0.01557
0,6,26,303,0.00544
0,6,26,304,0.00504
0,6,26,305,0.00242
0,6,26,306,0.00769
0,6,26,307,0.00400
0,6,26,308,0.00260
0,6,26,309,0.00268
0,6,26,310,0.00078
0,6,26,311,0.00124
0,6,26,312,0.00192
0,6,27,289,0.00151
0,6,27,291,0.00189
0,6,27,292,0.00321
0,6,27,293,0.00244
0,6,27,294,0.00251
0,6,27,295,0.00775
0,6,27,296,0.00969
0,6,27,297,0.01140
0,6,27,298,0.00763
0,6,27,299,0.00454
0,6,27,300,0.00160
0,6,27,301,0.01812
0,6,27,302,0.00431
0,6,27,303,0.00598
0,6,27,304,0.01123
0,6,27,305,0.00728
0,6,27,306,0.00205
0,6,27,307,0.00866
0,6,27,308,0.00318
0,6,27,309,0.00381
0,6,27,310,0.00470
0,6,27,311,0.00575
0,6,27,312,0.00339
0,6,28,289,0.00057
0,6,28,290,0.00119
0,6,28,291,0.00213
0,6,28,292,0.00308
0,6,28,293,0.00142
0,6,28,294,0.00263
0,6,28,295,0.00698
0,6,28,296,0.00314
0,6,28,297,0.00258
0,6,28,298,0.00889
0,6,28,299,0.00830
0,6,28,300,0.00432
0,6,28,301,0.00801
0,6,28,302,0.00666
0,6,28,303,0.00600
0,6,28,304,0.01497
0,6,28,305,0.01020
0,6,28,306,0.00500
0,6,28,307,0.00474
0,6,28,308,0.00383
0,6,28,309,0.00407
0,6,28,310,0.00101
0,6,28,311,0.00108
0,6,28,312,0.00061
0,6,29,289,0.00031
0,6,29,290,0.00045
0,6,29,291,0.00076
0,6,29,292,0.00233
0,6,29,294,0.00209
0,6,29,295,0.00556
0,6,29,296,0.00510
0,6,29,297,0.00659
0,6,29,298,0.00462
0,6,29,299,0.00414
0,6,29,300,0.00557
0,6,29,301,0.00708
0,6,29,302,0.00389
0,6,29,303,0.00946
0,6,29,304,0.01055
0,6,29,305,0.00994
0,6,29,306,0.00416
0,6,29,307,0.00879
0,6,29,308,0.00350
0,6,29,309,0.00132
0,6,29,310,0.00326
0,6,29,315,0.00035
0,6,30,291,0.00040
0,6,30,292,0.00112
0,6,30,294,0.00132
0,6,30,295,0.00225
0,6,30,296,0.00154
0,6,30,297,0.00421
0,6,30,298,0.00717
0,6,30,299,0.00325
0,6,30,300,0.00610
0,6,30,301,0.00542
0,6,30,302,0.00196
0,6,30,303,0.00442
0,6,30,304,0.00400
0,6,30,305,0.00797
0,6,30,306,0.00517
0,6,30,307,0.00498
0,6,30,308,0.00213
0,6,30,310,0.00550
0,6,30,311,0.00157
0,6,30,312,0.00071
0,6,30,313,0.00087
0,6,31,292,0.00036
0,6,31,293,0.00121
0,6,31,294,0.00362
0,6,31,295,0.00238
0,6,31,296,0.00261
0,6,31,297,0.00232
0,6,31,298,0.00428
0,6,31,299,0.00330
0,6,31,300,0.00569
0,6,31,301,0.00195
0,6,31,302,0.00428
0,6,31,303,0.00433
0,6,31,304,0.00660
0,6,31,305,0.00333
0,6,31,306,0.00295
0,6,31,307,0.00632
0,6,31,308,0.00180
0,6,31,309,0.00231
0,6,31,310,0.00313
0,6,31,311,0.00053
0,6,31,313,0.00052
0,6,32,293,0.00077
0,6,32,294,0.00096
0,6,32,297,0.00046
0,6,32,298,0.00174
0,6,32,299,0.00143
0,6,32,300,0.00264
0,6,32,301,0.00167
0,6,32,302,0.00177
0,6,32,303,0.00218
0,6,32,304,0.00160
0,6,32,306,0.00100
0,6,32,307,0.00194
0,6,32,308,0.00088
0,6,32,309,0.00049
0,6,32,310,0.00136
0,6,32,311,0.00061
0,6,32,312,0.00049
0,6,33,294,0.00028
0,6,33,297,0.00034
0,6,33,300,0.00048
0,6,33,301,0.00032
0,6,33,302,0.00057
0,6,33,303,0.00196
0,6,33,304,0.00108
